Timestamp (finished),Interaction,Type,UUID,Details,Duration (s),"Pos (w,h)"
2019-01-08T11:39:45Z,Created,Entity,4525ccb7-c9b6-408c-97fa-13648340457d,,0.1,"(32.3%, 71.3%)"
2019-01-08T11:39:58Z,Named,Entity,4525ccb7-c9b6-408c-97fa-13648340457d,None -> Leihmedium,0.1,
2019-01-08T11:40:09Z,Created,Entity,92fe302d-f21b-4dd3-8981-4f16d2ac878b,,11.0,"(58.3%, 67.6%)"
2019-01-08T11:40:15Z,Named,Entity,92fe302d-f21b-4dd3-8981-4f16d2ac878b,None -> Exemplar,0.1,
2019-01-08T11:40:24Z,Created,Entity,4696dbab-2d5a-4168-8d0b-6f04cec4fbda,,9.0,"(16.7%, 37.0%)"
2019-01-08T11:40:29Z,Named,Entity,4696dbab-2d5a-4168-8d0b-6f04cec4fbda,None -> Nutzer,0.1,
2019-01-08T11:40:34Z,Created,Entity,67bf9926-4880-4c24-94fc-38494d6b2c75,,5.0,"(54.2%, 30.6%)"
2019-01-08T11:40:38Z,Named,Entity,67bf9926-4880-4c24-94fc-38494d6b2c75,None -> Ausleihe,0.1,
2019-01-08T11:41:08Z,Created,Attribute,64d5da3e-09c7-4238-a357-df5ecdd72fc0,,30.0,"(37.0%, 64.8%)"
2019-01-08T11:41:16Z,Named,Attribute,64d5da3e-09c7-4238-a357-df5ecdd72fc0,None -> Titel,3.0,
2019-01-08T11:41:22Z,Moved,Attribute,64d5da3e-09c7-4238-a357-df5ecdd72fc0,"delta (-4.4%, -2.8%)",0.1,"(32.6%, 67.6%)"
2019-01-08T11:41:22Z,Assigned,Attribute,64d5da3e-09c7-4238-a357-df5ecdd72fc0,None -> 4525ccb7-c9b6-408c-97fa-13648340457d,0.0,
2019-01-08T11:41:22Z,Moved,Attribute,64d5da3e-09c7-4238-a357-df5ecdd72fc0,"delta (1.3%, 1.9%)",0.1,"(33.9%, 65.7%)"
2019-01-08T11:41:22Z,Unassigned,Attribute,64d5da3e-09c7-4238-a357-df5ecdd72fc0,4525ccb7-c9b6-408c-97fa-13648340457d -> None,0.0,
2019-01-08T11:41:22Z,Moved,Attribute,64d5da3e-09c7-4238-a357-df5ecdd72fc0,"delta (0.5%, 0.9%)",0.1,"(34.4%, 65.7%)"
2019-01-08T11:41:26Z,Created,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,,4.0,"(39.1%, 54.6%)"
2019-01-08T11:41:29Z,Named,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,None -> <Name>,1.0,
2019-01-08T11:41:42Z,Renamed,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,<Name> -> Erscheinungsjahr,5.0,
2019-01-08T11:41:46Z,Moved,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,"delta (-5.2%, -10.2%)",1.0,"(35.9%, 62.0%)"
2019-01-08T11:41:47Z,Moved,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,"delta (-1.3%, -0.5%)",0.1,"(32.6%, 65.3%)"
2019-01-08T11:41:47Z,Assigned,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,None -> 4525ccb7-c9b6-408c-97fa-13648340457d,0.0,
2019-01-08T11:41:47Z,Moved,Attribute,64d5da3e-09c7-4238-a357-df5ecdd72fc0,"delta (-1.8%, -2.8%)",0.1,"(32.6%, 67.6%)"
2019-01-08T11:41:47Z,Assigned,Attribute,64d5da3e-09c7-4238-a357-df5ecdd72fc0,None -> 4525ccb7-c9b6-408c-97fa-13648340457d,0.0,
2019-01-08T11:41:47Z,Moved,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,"delta (1.3%, 0.5%)",0.1,"(33.9%, 64.8%)"
2019-01-08T11:41:52Z,Created,Attribute,14363b1d-e2fb-407c-a483-d887935d515f,,5.0,"(37.0%, 54.6%)"
2019-01-08T11:41:55Z,Named,Attribute,14363b1d-e2fb-407c-a483-d887935d515f,None -> <Name>,0.1,
2019-01-08T11:41:59Z,Renamed,Attribute,14363b1d-e2fb-407c-a483-d887935d515f,<Name> -> ISBN,0.1,
2019-01-08T11:42:09Z,Renamed,Attribute,64d5da3e-09c7-4238-a357-df5ecdd72fc0,Titel -> Titel:,0.1,
2019-01-08T11:42:15Z,Renamed,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,Erscheinungsjahr -> Erscheinungsjahr:,0.1,
2019-01-08T11:42:15Z,Moved,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,"delta (-1.3%, -0.5%)",0.1,"(32.6%, 65.3%)"
2019-01-08T11:42:20Z,Renamed,Attribute,14363b1d-e2fb-407c-a483-d887935d515f,ISBN -> ISBN:,0.1,
2019-01-08T11:42:23Z,Moved,Attribute,14363b1d-e2fb-407c-a483-d887935d515f,"delta (-4.2%, -8.3%)",1.0,"(37.0%, 55.6%)"
2019-01-08T11:42:23Z,Assigned,Attribute,14363b1d-e2fb-407c-a483-d887935d515f,None -> 4525ccb7-c9b6-408c-97fa-13648340457d,1.0,
2019-01-08T11:42:23Z,Unassigned,Attribute,14363b1d-e2fb-407c-a483-d887935d515f,4525ccb7-c9b6-408c-97fa-13648340457d -> None,0.0,
2019-01-08T11:42:23Z,Moved,Attribute,14363b1d-e2fb-407c-a483-d887935d515f,"delta (0.5%, 0.0%)",0.1,"(33.9%, 63.0%)"
2019-01-08T11:42:37Z,Created,Attribute,d464cd13-2a38-4229-82fd-86ff85b754cd,,14.0,"(61.5%, 51.9%)"
2019-01-08T11:42:40Z,Named,Attribute,d464cd13-2a38-4229-82fd-86ff85b754cd,None -> <Name>,0.1,
2019-01-08T11:42:47Z,Renamed,Attribute,d464cd13-2a38-4229-82fd-86ff85b754cd,<Name> -> Signatur,1.0,
2019-01-08T11:42:52Z,Renamed,Attribute,d464cd13-2a38-4229-82fd-86ff85b754cd,Signatur -> Signatur:,0.1,
2019-01-08T11:42:59Z,Moved,Attribute,d464cd13-2a38-4229-82fd-86ff85b754cd,"delta (-1.0%, -3.7%)",0.1,"(59.9%, 59.3%)"
2019-01-08T11:43:00Z,Moved,Attribute,d464cd13-2a38-4229-82fd-86ff85b754cd,"delta (-1.0%, -6.5%)",0.1,"(59.4%, 62.0%)"
2019-01-08T11:43:00Z,Assigned,Attribute,d464cd13-2a38-4229-82fd-86ff85b754cd,None -> 92fe302d-f21b-4dd3-8981-4f16d2ac878b,0.0,
2019-01-08T11:43:00Z,Moved,Attribute,d464cd13-2a38-4229-82fd-86ff85b754cd,"delta (0.0%, 0.9%)",0.1,"(58.6%, 63.9%)"
2019-01-08T11:43:00Z,Unassigned,Attribute,d464cd13-2a38-4229-82fd-86ff85b754cd,92fe302d-f21b-4dd3-8981-4f16d2ac878b -> None,0.0,
2019-01-08T11:43:00Z,Moved,Attribute,d464cd13-2a38-4229-82fd-86ff85b754cd,"delta (0.0%, -0.9%)",0.1,"(59.4%, 62.0%)"
2019-01-08T11:43:07Z,Created,Attribute,7b5bdd1a-e8cc-4fd2-afaf-9e6fdcb4249c,,7.0,"(64.6%, 50.9%)"
2019-01-08T11:43:10Z,Named,Attribute,7b5bdd1a-e8cc-4fd2-afaf-9e6fdcb4249c,None -> <Name>,0.1,
2019-01-08T11:43:19Z,Renamed,Attribute,7b5bdd1a-e8cc-4fd2-afaf-9e6fdcb4249c,<Name> -> Anschaffungsdatum:,3.0,
2019-01-08T11:43:27Z,Moved,Attribute,7b5bdd1a-e8cc-4fd2-afaf-9e6fdcb4249c,"delta (-6.0%, -10.6%)",2.0,"(64.1%, 52.8%)"
2019-01-08T11:43:27Z,Assigned,Attribute,7b5bdd1a-e8cc-4fd2-afaf-9e6fdcb4249c,None -> 92fe302d-f21b-4dd3-8981-4f16d2ac878b,1.0,
2019-01-08T11:43:27Z,Moved,Attribute,7b5bdd1a-e8cc-4fd2-afaf-9e6fdcb4249c,"delta (0.3%, 0.5%)",0.1,"(58.9%, 61.1%)"
2019-01-08T11:43:27Z,Moved,Attribute,d464cd13-2a38-4229-82fd-86ff85b754cd,"delta (-0.8%, -1.9%)",0.1,"(58.6%, 63.9%)"
2019-01-08T11:43:27Z,Assigned,Attribute,d464cd13-2a38-4229-82fd-86ff85b754cd,None -> 92fe302d-f21b-4dd3-8981-4f16d2ac878b,0.0,
2019-01-08T11:43:35Z,Created,Attribute,e0253bb1-f444-4607-b240-2d6f31f7b954,,8.0,"(61.5%, 49.1%)"
2019-01-08T11:43:37Z,Named,Attribute,e0253bb1-f444-4607-b240-2d6f31f7b954,None -> <Name>,0.1,
2019-01-08T11:43:45Z,Renamed,Attribute,e0253bb1-f444-4607-b240-2d6f31f7b954,<Name> -> Anschaffungspre,2.0,
2019-01-08T11:43:50Z,Renamed,Attribute,e0253bb1-f444-4607-b240-2d6f31f7b954,Anschaffungspre -> Anschaffungspreis:,0.1,
2019-01-08T11:43:54Z,Moved,Attribute,e0253bb1-f444-4607-b240-2d6f31f7b954,"delta (-2.6%, -10.2%)",1.0,"(58.9%, 60.2%)"
2019-01-08T11:43:54Z,Assigned,Attribute,e0253bb1-f444-4607-b240-2d6f31f7b954,None -> 92fe302d-f21b-4dd3-8981-4f16d2ac878b,0.0,
2019-01-08T11:43:54Z,Moved,Attribute,e0253bb1-f444-4607-b240-2d6f31f7b954,"delta (-0.3%, -0.0%)",0.1,"(58.6%, 59.3%)"
2019-01-08T11:44:04Z,Created,Attribute,c93a2c33-4b8a-4160-848b-b939095c826b,,10.0,"(21.9%, 22.2%)"
2019-01-08T11:44:11Z,Named,Attribute,c93a2c33-4b8a-4160-848b-b939095c826b,None -> Vorname,5.0,
2019-01-08T11:44:15Z,Renamed,Attribute,c93a2c33-4b8a-4160-848b-b939095c826b,Vorname -> Vorname:,0.1,
2019-01-08T11:44:18Z,Moved,Attribute,c93a2c33-4b8a-4160-848b-b939095c826b,"delta (-2.6%, -11.1%)",1.0,"(20.3%, 29.6%)"
2019-01-08T11:44:18Z,Assigned,Attribute,c93a2c33-4b8a-4160-848b-b939095c826b,None -> 4696dbab-2d5a-4168-8d0b-6f04cec4fbda,1.0,
2019-01-08T11:44:18Z,Moved,Attribute,c93a2c33-4b8a-4160-848b-b939095c826b,"delta (-2.3%, 0.0%)",0.1,"(16.9%, 33.3%)"
2019-01-08T11:44:20Z,Created,Attribute,01612944-3c79-43fc-8191-1af44646c207,,2.0,"(22.9%, 22.2%)"
2019-01-08T11:44:27Z,Named,Attribute,01612944-3c79-43fc-8191-1af44646c207,None -> Nachname:,4.0,
2019-01-08T11:44:32Z,Moved,Attribute,01612944-3c79-43fc-8191-1af44646c207,"delta (-6.0%, -8.8%)",1.0,"(18.2%, 30.6%)"
2019-01-08T11:44:32Z,Assigned,Attribute,01612944-3c79-43fc-8191-1af44646c207,None -> 4696dbab-2d5a-4168-8d0b-6f04cec4fbda,1.0,
2019-01-08T11:44:32Z,Moved,Attribute,01612944-3c79-43fc-8191-1af44646c207,"delta (1.3%, 0.5%)",0.1,"(18.2%, 30.6%)"
2019-01-08T11:44:32Z,Unassigned,Attribute,01612944-3c79-43fc-8191-1af44646c207,4696dbab-2d5a-4168-8d0b-6f04cec4fbda -> None,0.0,
2019-01-08T11:44:32Z,Assigned,Attribute,01612944-3c79-43fc-8191-1af44646c207,None -> 4696dbab-2d5a-4168-8d0b-6f04cec4fbda,0.0,
2019-01-08T11:44:37Z,Created,Attribute,8885913e-0fc5-44e3-9672-d8d46f45a39f,,5.0,"(24.5%, 21.3%)"
2019-01-08T11:44:50Z,Named,Attribute,8885913e-0fc5-44e3-9672-d8d46f45a39f,None -> Geburtsdatum:,6.0,
2019-01-08T11:44:52Z,Moved,Attribute,8885913e-0fc5-44e3-9672-d8d46f45a39f,"delta (-1.0%, -1.9%)",0.1,"(19.3%, 26.9%)"
2019-01-08T11:44:53Z,Moved,Attribute,8885913e-0fc5-44e3-9672-d8d46f45a39f,"delta (-6.5%, -5.6%)",0.1,"(16.9%, 28.7%)"
2019-01-08T11:44:53Z,Assigned,Attribute,8885913e-0fc5-44e3-9672-d8d46f45a39f,None -> 4696dbab-2d5a-4168-8d0b-6f04cec4fbda,0.0,
2019-01-08T11:44:53Z,Moved,Attribute,8885913e-0fc5-44e3-9672-d8d46f45a39f,"delta (0.8%, 0.0%)",0.1,"(17.7%, 28.7%)"
2019-01-08T11:44:53Z,Unassigned,Attribute,8885913e-0fc5-44e3-9672-d8d46f45a39f,4696dbab-2d5a-4168-8d0b-6f04cec4fbda -> None,0.0,
2019-01-08T11:44:53Z,Assigned,Attribute,8885913e-0fc5-44e3-9672-d8d46f45a39f,None -> 4696dbab-2d5a-4168-8d0b-6f04cec4fbda,0.0,
2019-01-08T11:44:53Z,Moved,Attribute,8885913e-0fc5-44e3-9672-d8d46f45a39f,"delta (0.5%, 0.9%)",0.1,"(18.2%, 27.8%)"
2019-01-08T11:44:53Z,Unassigned,Attribute,8885913e-0fc5-44e3-9672-d8d46f45a39f,4696dbab-2d5a-4168-8d0b-6f04cec4fbda -> None,0.0,
2019-01-08T11:44:53Z,Moved,Attribute,8885913e-0fc5-44e3-9672-d8d46f45a39f,"delta (0.0%, -0.9%)",0.1,"(18.8%, 27.8%)"
2019-01-08T11:45:02Z,Created,Attribute,c52a64ba-48d1-409a-9e1d-86ac4b68ba1c,,9.0,"(51.6%, 15.7%)"
2019-01-08T11:45:23Z,Named,Attribute,c52a64ba-48d1-409a-9e1d-86ac4b68ba1c,None -> DatumAusleihe:,14.0,
2019-01-08T11:45:27Z,Moved,Attribute,c52a64ba-48d1-409a-9e1d-86ac4b68ba1c,"delta (3.1%, -9.3%)",1.0,"(54.7%, 21.3%)"
2019-01-08T11:45:27Z,Assigned,Attribute,c52a64ba-48d1-409a-9e1d-86ac4b68ba1c,None -> 67bf9926-4880-4c24-94fc-38494d6b2c75,1.0,
2019-01-08T11:45:27Z,Moved,Attribute,c52a64ba-48d1-409a-9e1d-86ac4b68ba1c,"delta (-0.3%, -1.9%)",0.1,"(54.4%, 26.9%)"
2019-01-08T11:45:30Z,Created,Attribute,2d83e0b4-9055-42b4-bdcf-6292aabfc190,,3.0,"(58.3%, 15.7%)"
2019-01-08T11:45:44Z,Named,Attribute,2d83e0b4-9055-42b4-bdcf-6292aabfc190,None -> Fälligkeitsdatum:,7.0,
2019-01-08T11:45:48Z,Moved,Attribute,2d83e0b4-9055-42b4-bdcf-6292aabfc190,"delta (-3.6%, -8.3%)",1.0,"(55.2%, 22.2%)"
2019-01-08T11:45:48Z,Assigned,Attribute,2d83e0b4-9055-42b4-bdcf-6292aabfc190,None -> 67bf9926-4880-4c24-94fc-38494d6b2c75,1.0,
2019-01-08T11:45:48Z,Moved,Attribute,2d83e0b4-9055-42b4-bdcf-6292aabfc190,"delta (-0.3%, -0.5%)",0.1,"(54.4%, 24.5%)"
2019-01-08T11:45:55Z,Moved,Attribute,64d5da3e-09c7-4238-a357-df5ecdd72fc0,"delta (-6.2%, -3.7%)",0.1,"(28.4%, 69.4%)"
2019-01-08T11:45:55Z,Moved,Entity,4525ccb7-c9b6-408c-97fa-13648340457d,"delta (-6.2%, -3.7%)",0.1,"(26.0%, 75.0%)"
2019-01-08T11:45:55Z,Moved,Attribute,14363b1d-e2fb-407c-a483-d887935d515f,"delta (-6.5%, -3.7%)",0.1,"(26.8%, 66.7%)"
2019-01-08T11:45:55Z,Assigned,Attribute,14363b1d-e2fb-407c-a483-d887935d515f,None -> 4525ccb7-c9b6-408c-97fa-13648340457d,0.0,
2019-01-08T11:45:55Z,Moved,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,"delta (-5.7%, -3.7%)",0.1,"(26.8%, 69.0%)"
2019-01-08T11:45:55Z,Moved,Attribute,64d5da3e-09c7-4238-a357-df5ecdd72fc0,"delta (0.5%, 0.0%)",0.1,"(26.8%, 71.3%)"
2019-01-08T11:45:55Z,Moved,Entity,4525ccb7-c9b6-408c-97fa-13648340457d,"delta (1.0%, 0.9%)",0.1,"(27.1%, 74.1%)"
2019-01-08T11:45:55Z,Moved,Attribute,14363b1d-e2fb-407c-a483-d887935d515f,"delta (0.5%, 0.9%)",0.1,"(27.3%, 65.7%)"
2019-01-08T11:45:55Z,Moved,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,"delta (0.5%, 0.9%)",0.1,"(27.3%, 68.1%)"
2019-01-08T11:45:55Z,Moved,Attribute,64d5da3e-09c7-4238-a357-df5ecdd72fc0,"delta (0.5%, 0.9%)",0.1,"(27.3%, 70.4%)"
2019-01-08T11:45:55Z,Moved,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,"delta (-1.0%, -0.9%)",0.1,"(26.3%, 69.0%)"
2019-01-08T11:45:55Z,Moved,Attribute,14363b1d-e2fb-407c-a483-d887935d515f,"delta (1.0%, 0.9%)",0.1,"(28.4%, 64.8%)"
2019-01-08T11:45:55Z,Moved,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,"delta (2.1%, 1.9%)",0.1,"(28.4%, 67.1%)"
2019-01-08T11:45:55Z,Moved,Entity,4525ccb7-c9b6-408c-97fa-13648340457d,"delta (-0.5%, -0.9%)",0.1,"(26.6%, 75.0%)"
2019-01-08T11:45:55Z,Moved,Attribute,14363b1d-e2fb-407c-a483-d887935d515f,"delta (-4.2%, -3.7%)",0.1,"(26.3%, 66.7%)"
2019-01-08T11:45:55Z,Moved,Entity,4525ccb7-c9b6-408c-97fa-13648340457d,"delta (-1.0%, 0.0%)",0.1,"(25.5%, 75.0%)"
2019-01-08T11:45:55Z,Moved,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,"delta (-2.6%, -1.9%)",0.1,"(25.8%, 69.0%)"
2019-01-08T11:45:55Z,Moved,Entity,4525ccb7-c9b6-408c-97fa-13648340457d,"delta (-0.5%, -0.9%)",0.1,"(25.0%, 75.9%)"
2019-01-08T11:45:55Z,Moved,Attribute,64d5da3e-09c7-4238-a357-df5ecdd72fc0,"delta (-2.1%, -1.9%)",0.1,"(25.3%, 72.2%)"
2019-01-08T11:45:55Z,Moved,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,"delta (-0.5%, -0.9%)",0.1,"(25.3%, 69.9%)"
2019-01-08T11:45:55Z,Moved,Attribute,14363b1d-e2fb-407c-a483-d887935d515f,"delta (1.0%, 0.9%)",0.1,"(25.3%, 67.6%)"
2019-01-08T11:45:55Z,Moved,Entity,4525ccb7-c9b6-408c-97fa-13648340457d,"delta (-0.5%, 0.0%)",0.1,"(24.5%, 75.9%)"
2019-01-08T11:45:55Z,Moved,Attribute,64d5da3e-09c7-4238-a357-df5ecdd72fc0,"delta (-0.5%, 0.0%)",0.1,"(24.7%, 72.2%)"
2019-01-08T11:45:55Z,Moved,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,"delta (-0.5%, 0.0%)",0.1,"(24.7%, 69.9%)"
2019-01-08T11:45:55Z,Moved,Attribute,14363b1d-e2fb-407c-a483-d887935d515f,"delta (-0.5%, 0.0%)",0.1,"(24.7%, 67.6%)"
2019-01-08T11:45:55Z,Moved,Entity,4525ccb7-c9b6-408c-97fa-13648340457d,"delta (-0.5%, -0.9%)",0.1,"(24.0%, 76.9%)"
2019-01-08T11:45:55Z,Moved,Attribute,64d5da3e-09c7-4238-a357-df5ecdd72fc0,"delta (-0.5%, -0.9%)",0.1,"(24.2%, 73.1%)"
2019-01-08T11:45:55Z,Moved,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,"delta (-0.5%, -0.9%)",0.1,"(24.2%, 70.8%)"
