Interaction,P01,P02,P03,P04,P05,P06,P07,P08,Total
Assigned,14,12,11,18,17,14,25,19,130
Changed Cardinality,4,6,9,5,6,12,10,6,58
Connected,6,11,9,8,7,5,9,11,66
Connection aborted,1,0,0,0,0,0,0,0,1
Created,26,26,23,23,24,18,31,24,195
Defined Cardinality,4,6,6,5,6,4,6,6,43
Deleted,5,2,5,2,0,0,6,0,20
Disconnected,1,3,2,3,1,1,4,5,20
Moved,707,978,480,929,1065,488,863,240,5750
Named,20,19,17,17,17,15,13,18,136
Renamed,18,21,14,17,13,12,26,0,121
Unassigned,2,1,2,7,6,5,13,8,44
Total,808,1085,578,1034,1162,574,1006,337,6584
