Interaction,P01,P02,P03,P04,P05,P06,P07,P08
Assigned,0.8571428571428571,0.41666666666666663,0.45454545454545453,1.5,0.3529411764705882,0.42857142857142855,0.8,0.368421052631579
Changed Cardinality,4.25,1.1666666666666667,6.333333333333334,7,1,3.5833333333333335,1.8,2
Connected,0.16666666666666669,0.1818181818181818,1.7777777777777777,4.5,0.2857142857142857,0.2,7.888888888888889,1.7272727272727273
Connection aborted,1,NA,NA,NA,NA,NA,NA,NA
Created,4.773076923076923,3.1192307692307697,8.482608695652173,14.22173913043478,6.9625,7.45,11.16451612903226,7.3375
Defined Cardinality,6,3.333333333333333,7,2.8,2,3.5,4,4.5
Deleted,0.4,15.5,6.6,19.5,NA,NA,27.5,NA
Disconnected,0,0,0,0,0,0,0,0
Moved,0.14384724186704392,0.148364008179959,0.29187499999999955,0.11980624327233601,0.11107981220657273,0.12684426229508186,0.14855156431054484,0.18249999999999983
Named,2.06,0.9157894736842105,1.1176470588235294,2.111764705882353,2.635294117647059,1.2533333333333334,2.576923076923077,0.1
Renamed,2.805555555555556,2.1,1.8214285714285714,3.276470588235294,0.9153846153846154,2.4583333333333335,2.3384615384615386,NA
Unassigned,3,0,0,0,0,0,2,0
