Timestamp (finished),Interaction,Type,UUID,Details,Duration (s),"Pos (w,h)"
2019-01-08T12:48:52Z,Created,Entity,ef089f49-5b74-4c56-9155-2dbf229f9106,,0.0,"(11.98%, 72.22%)"
2019-01-08T12:49:04Z,Named,Entity,ef089f49-5b74-4c56-9155-2dbf229f9106, -> Nutzer,4.0,
2019-01-08T12:49:10Z,Created,Attribute,ba83c5c4-3983-41eb-b8ba-f6f0ac2a02df,,0.0,"(14.58%, 46.30%)"
2019-01-08T12:49:13Z,Named,Attribute,ba83c5c4-3983-41eb-b8ba-f6f0ac2a02df, -> <Name>,0.0,
2019-01-08T12:49:18Z,Changed Data Type,Attribute,ba83c5c4-3983-41eb-b8ba-f6f0ac2a02df,None -> Integer,3.0,
2019-01-08T12:49:22Z,Created,Attribute,39f24d0d-85c7-4bf7-b303-074bba8c3e51,,0.0,"(19.79%, 37.96%)"
2019-01-08T12:49:25Z,Named,Attribute,39f24d0d-85c7-4bf7-b303-074bba8c3e51, -> <Name>,0.0,
2019-01-08T12:49:34Z,Changed Data Type,Attribute,39f24d0d-85c7-4bf7-b303-074bba8c3e51,None -> Decimal,2.0,
2019-01-08T12:49:37Z,Created,Attribute,34f4ccef-74b9-4764-818b-67139c2c3fd2,,0.0,"(8.85%, 37.04%)"
2019-01-08T12:49:39Z,Named,Attribute,34f4ccef-74b9-4764-818b-67139c2c3fd2, -> <Name>,0.0,
2019-01-08T12:49:43Z,Changed Data Type,Attribute,34f4ccef-74b9-4764-818b-67139c2c3fd2,None -> String,1.0,
2019-01-08T12:49:47Z,Created,Attribute,9acc6909-17a6-4c95-876e-5432e6c8e7fe,,0.0,"(19.79%, 23.15%)"
2019-01-08T12:49:48Z,Named,Attribute,9acc6909-17a6-4c95-876e-5432e6c8e7fe, -> <Name>,0.0,
2019-01-08T12:49:52Z,Changed Data Type,Attribute,9acc6909-17a6-4c95-876e-5432e6c8e7fe,None -> Date,1.0,
2019-01-08T12:49:57Z,Created,Attribute,f45b9629-ce0d-4a99-8ea4-1ec0f826a40d,,0.0,"(20.31%, 37.04%)"
2019-01-08T12:49:59Z,Created,Attribute,df5a3775-9b3f-4b63-bbff-82fe2344dfe9,,0.0,"(20.31%, 37.04%)"
