Interaction,P01,P02,P03,P04,P05,P06,P07,P08,Total
Assigned,14,12,11,18,17,14,25,19,130
Changed Cardinality,5,6,10,6,6,8,8,6,55
Changed Data Type,17,17,8,15,18,12,4,11,102
Connected,6,11,9,8,7,5,8,9,63
Connection aborted,1,0,0,0,0,0,0,0,1
Created,26,26,23,23,24,18,31,24,195
Deleted,5,2,5,2,0,0,6,0,20
Disconnected,1,3,2,3,1,1,2,3,16
Moved,98,107,90,115,108,56,171,58,803
Named,29,30,24,24,21,19,27,18,192
Renamed,5,9,6,5,7,5,12,0,49
Unassigned,2,1,2,7,6,5,13,8,44
Total,209,224,190,226,215,143,307,156,1670
