Interaction,P01,P02,P03,P04,P05,P06,P07,P08
Assigned,0,0,0,0,0,0,0,0
Changed Cardinality,1.8,1.1666666666666667,1.3,0.6666666666666667,1,2,1.125,2
Changed Data Type,1.2941176470588236,0.9411764705882351,2,2.8666666666666667,0.3888888888888889,0.6666666666666666,1.75,0
Connected,0,0,0,0,0,0,0,0
Connection aborted,0,NA,NA,NA,NA,NA,NA,NA
Created,0,0,0,0,0,0,0,0
Deleted,0,0,0,0,NA,NA,0,NA
Disconnected,0,0,0,0,0,0,0,0
Moved,1,1.3271028037383181,1.744444444444445,1.1826086956521737,0.888888888888889,0.8035714285714285,0.7602339181286548,0.7241379310344828
Named,3.3448275862068964,1.9666666666666666,1.625,4.583333333333333,3.1428571428571432,3.157894736842105,3.481481481481482,0
Renamed,0.8,0,0.6666666666666667,0,0,0,0.33333333333333337,NA
Unassigned,0,0,0,0,0,0,0,0
