Timestamp (finished),Interaction,Type,UUID,Details,Duration (s),"Pos (w,h)"
2019-01-08T09:40:34Z,Created,Entity,ac5b2c6e-6339-4134-8aa2-8799474392c9,,0.0,"(17.7%, 74.1%)"
2019-01-08T09:40:48Z,Named,Entity,ac5b2c6e-6339-4134-8aa2-8799474392c9,<Name of entity type> -> None,0.0,
2019-01-08T09:41:00Z,Named,Entity,ac5b2c6e-6339-4134-8aa2-8799474392c9,None -> Leihmedien:,7.0,
2019-01-08T09:41:07Z,Created,Attribute,5d0bed5e-221b-45f0-90f0-242d299f6eb7,,0.0,"(26.0%, 60.2%)"
2019-01-08T09:41:09Z,Named,Attribute,5d0bed5e-221b-45f0-90f0-242d299f6eb7,<Name>  -> <Name>,0.0,
2019-01-08T09:41:20Z,Named,Attribute,5d0bed5e-221b-45f0-90f0-242d299f6eb7,<Name> -> Titel:,1.0,
2019-01-08T09:41:28Z,Moved,Attribute,5d0bed5e-221b-45f0-90f0-242d299f6eb7,"delta: (-5.2%, -9.3%)",1.0,"(20.3%, 69.4%)"
2019-01-08T09:41:28Z,Renamed,Entity,ac5b2c6e-6339-4134-8aa2-8799474392c9,Leihmedien: -> Leihmedien,0.0,
2019-01-08T09:41:28Z,Assigned,Entity,ac5b2c6e-6339-4134-8aa2-8799474392c9,"node: ac5b2c6e-6339-4134-8aa2-8799474392c9, attr: 5d0bed5e-221b-45f0-90f0-242d299f6eb7",0.0,
2019-01-08T09:41:28Z,Moved,Attribute,5d0bed5e-221b-45f0-90f0-242d299f6eb7,"delta: (1.0%, 1.9%)",0.0,"(21.4%, 66.7%)"
2019-01-08T09:41:32Z,Created,Attribute,8aefc0f1-6824-4d20-b872-b2715ac7868a,,0.0,"(45.3%, 50.9%)"
2019-01-08T09:41:44Z,Named,Attribute,8aefc0f1-6824-4d20-b872-b2715ac7868a,<Name>  -> <Name>,0.0,
2019-01-08T09:42:10Z,Named,Attribute,8aefc0f1-6824-4d20-b872-b2715ac7868a,<Name> -> Erscheiningsjahr:,7.0,
2019-01-08T09:42:26Z,Moved,Attribute,8aefc0f1-6824-4d20-b872-b2715ac7868a,"delta: (3.6%, 3.7%)",1.0,"(23.4%, 62.0%)"
