Interaction,P01,P02,P03,P04,P05,P06,P07,P08
Assigned,0,0,0,0,0,0,0,0
Changed Cardinality,1.8,1.1666666666666667,0.7272727272727273,0.6666666666666667,1,1.2222222222222223,1.125,2
Connected,0,0,0,0,0,0,0,0
Created,0,0,0,0,0,0,0,0
Deleted,0,NA,0,0,NA,NA,0,NA
Disconnected,0,0,0,0,NA,NA,NA,NA
Moved,0.4175824175824177,0.4950495049504949,1.1910112359550553,0.19811320754716977,0.12037037037037042,0.3043478260869563,0.4471544715447153,0.5675675675675675
Named,2.5588235294117645,2.032258064516129,1.4444444444444444,3.6296296296296298,2.7727272727272725,2.619047619047619,2.8148148148148144,0
Re-connected,0.20000000000000004,0.1176470588235294,0.13333333333333336,0.2727272727272727,0.0909090909090909,0,0.07692307692307693,0
Renamed,0.8,0,0.6666666666666667,1.1666666666666665,0,0,0.8571428571428572,NA
Unassigned,0,NA,NA,NA,NA,NA,0,NA
