Timestamp (finished),Interaction,Type,UUID,Details,Duration (s),"Pos (w,h)"
2019-01-08T11:39:45Z,Created,Entity,4525ccb7-c9b6-408c-97fa-13648340457d,NA,0,"(32.3%, 71.3%)"
2019-01-08T11:40:07Z,Named,Entity,4525ccb7-c9b6-408c-97fa-13648340457d,Leihmedium,9,NA
2019-01-08T11:40:09Z,Created,Entity,92fe302d-f21b-4dd3-8981-4f16d2ac878b,NA,0,"(58.3%, 67.6%)"
2019-01-08T11:40:21Z,Named,Entity,92fe302d-f21b-4dd3-8981-4f16d2ac878b,Exemplar,6,NA
2019-01-08T11:40:24Z,Created,Entity,4696dbab-2d5a-4168-8d0b-6f04cec4fbda,NA,0,"(16.7%, 37%)"
2019-01-08T11:40:31Z,Named,Entity,4696dbab-2d5a-4168-8d0b-6f04cec4fbda,Nutzer,2,NA
2019-01-08T11:40:34Z,Created,Entity,67bf9926-4880-4c24-94fc-38494d6b2c75,NA,0,"(54.2%, 30.6%)"
2019-01-08T11:41:06Z,Named,Entity,67bf9926-4880-4c24-94fc-38494d6b2c75,Ausleihe,28,NA
2019-01-08T11:41:08Z,Created,Attribute,64d5da3e-09c7-4238-a357-df5ecdd72fc0,NA,0,"(37%, 64.8%)"
2019-01-08T11:41:17Z,Named,Attribute,64d5da3e-09c7-4238-a357-df5ecdd72fc0,Titel,1,NA
2019-01-08T11:41:22Z,Changed Data Type,Attribute,64d5da3e-09c7-4238-a357-df5ecdd72fc0,String -> String,4,NA
2019-01-08T11:41:22Z,Assigned,Attribute,64d5da3e-09c7-4238-a357-df5ecdd72fc0,4525ccb7-c9b6-408c-97fa-13648340457d,0,NA
2019-01-08T11:41:26Z,Created,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,NA,0,"(39.1%, 54.6%)"
2019-01-08T11:41:39Z,Named,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,Erscheinungsjahr,2,NA
2019-01-08T11:41:44Z,Changed Data Type,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,String -> Integer,2,NA
2019-01-08T11:41:47Z,Assigned,Attribute,d1dc4741-91ba-41f4-8d29-f0ef28222af9,4525ccb7-c9b6-408c-97fa-13648340457d,2,NA
2019-01-08T11:41:52Z,Created,Attribute,14363b1d-e2fb-407c-a483-d887935d515f,NA,0,"(37%, 54.6%)"
