Interaction,P01,P02,P03,P04,P05,P06,P07,P08
Assigned,2,1.9090909090909092,11.555555555555555,0.45454545454545453,0.36363636363636365,1,1,0.7272727272727272
Changed Cardinality,0,NA,1.75,0,NA,3.5,2,NA
Changed Data Type,5.076923076923077,4.636363636363637,4,5.909090909090909,2.5833333333333335,5.111111111111111,4.294117647058824,0.9090909090909091
Connected,0,0,0,0,0,0,0,0
Connection aborted,0,NA,NA,NA,NA,NA,NA,NA
Created,0,0,0,0,0,0,0,0
Defined Cardinality,5.5,2.5,4,4.8,3,6.25,2.8333333333333335,5.833333333333333
Deleted,0,NA,0,0,NA,NA,0,NA
Disconnected,NA,0,0,0,NA,NA,NA,NA
Moved,2,1.96875,2.3428571428571425,1,0.96,1.5714285714285714,1.1666666666666665,0.8181818181818181
Named,6.5,6.444444444444445,5.333333333333333,11.125,5.352941176470589,8.285714285714286,5.904761904761905,1.5555555555555558
Renamed,9.5,4.2,3.5,NA,2,9,7.571428571428571,NA
